Date_Applied,Company_Name,Job_Title,Location_Type,Salary_Range,Key_Tech_Stack,Application_Status,Notes
2026-07-28,VSquare Systems,Lead Data Engineer,Bangalore / Remote,Undisclosed,"Data Modeling Lead, Snowflake, Data Quality, SQL, Python",Rejected,90% Match. 100% Remote Option. Contact: Sonal Thakre. Applied via LinkedIn Easy Apply
2026-07-28,Intellics Global Services,Snowflake Developer,Bengaluru / Hyderabad (Hybrid),12-22 LPA,"Snowflake, Complex SQL, ETL Pipelines, Query Tuning",Applied,98-100% Slam Dunk Match. 12-22 LPA Target. Immediate Notice Match. Contact: 9944747956. Applied via Naukri
2026-07-28,NAM Info,Snowflake Developer,Bengaluru (Hybrid),8-12 LPA,"Snowflake SQL, Snowpipe, Streams & Tasks, Medallion Architecture, Python",Applied,98-100% Slam Dunk Match. Early Applicant (<10 applicants)
2026-07-28,Apptad,Snowflake Admin/DBA,Bengaluru (Hybrid),Undisclosed,"Snowflake RBAC, Cortex AI, Dynamic PII Masking, Warehouse Cost Tuning, Advanced SQL",Applied,92% Match. Applied via Naukri
2026-07-28,Mogi I/O,Snowflake Architect,100% Remote,Undisclosed (SaaS),"Snowflake, Medallion Architecture, Data Governance, Data Quality, SQL, Python, dbt",Applied,92% Match. 100% Remote SaaS Venture. Applied via Wellfound / SaaS Portal
2026-07-28,Perfect Job Accord,Engineering Manager - AI,Bengaluru / Hyderabad (Hybrid),Undisclosed (Manager),"Team Leadership (14+ Yrs), Agentic AI, Model Context Protocol (MCP), Snowflake, SQL",Applied,88% AI Leadership Fit. Direct email sent to Prudhvi (prudhvi@perfectjobaccord.com)
2026-07-28,UsefulBI Corporation,PowerBI Developer (Immediate),Bengaluru (Hybrid),Undisclosed,"Power BI, DAX, Power Query M, Power BI Service, RLS/OLS, Python, SQL",Rejected,98% Match. Immediate Joiner. Contact: Prriya Panigrahi. Applied via LinkedIn
2026-07-28,Recrew AI,Senior Analytics Engineer,Bengaluru (On-site),Undisclosed,"Analytics Engineering, Advanced SQL, Data Modeling, Star/Snowflake Schema",Applied,90% Match. Applied via LinkedIn
2026-07-28,MULLY TECHNOLOGY,Senior SQL Developer - Azure/Snowflake,Secunderābād / Hyderabad,Up to 10 LPA,"SQL, Azure Data Factory, Snowflake, Streams & Tasks, Data Modeling",Applied,92% Match. Immediate Joiner. Email sent to hr@mullytech.in. Applied via LinkedIn
2026-07-28,Kamakhya Analytics,Data Analyst,Bengaluru (Hybrid),Undisclosed,"Automated Workflows, Data Governance, Quality Checks, SQL, Power BI, Excel VBA",Applied,95% Match. Applied via LinkedIn
2026-07-27,Cision,Data Operations Team Lead,100% Remote (India),Exp: 18 LPA,"Team Leadership (15+), Data Governance, Quality Controls, Advanced SQL, Databricks",Applied,98-100% Slam Dunk Match. 100% Remote. Greenhouse ATS Receipt Confirmed (no-reply@eu.greenhouse-mail.io)
2026-07-27,Exolios Group,Remote Snowflake Architect,100% Remote,Undisclosed (Architect),"Snowflake, Medallion Architecture, Data Quality, MDM, dbt, APIs",Applied,95% Match. 100% Remote (14+ Yrs Exp Match). Direct email to Priyanka Kumari (priyanka.k@exolios.com)
2026-07-27,Happiest Minds Technologies,Lead Data Engineer - Snowflake,Bengaluru (Hybrid),Undisclosed (Lead),"Snowflake, Medallion Architecture, Advanced SQL, Power BI, Leadership",Applied,92% Excellent Match. Low Competition (26 applicants). Applied via Company Site
2026-07-27,RARR Technologies,Sr. Snowflake Engineer - Matillion (LTIMINDTREE),Bangalore (Hybrid),Up to ₹36 LPA (Exp: 18 LPA),"Snowflake, Medallion Architecture, Matillion ETL, Advanced SQL",Applied,High Value Target (Up to ₹36 LPA). End Client: LTIMINDTREE. Applied via RARR Portal
2026-07-27,TEKsystems,Snowflake Developer,Bengaluru (Hybrid),Exp: 15-18 LPA,"Snowflake, Medallion Pipelines, Advanced SQL, Data Quality Audit",Applied,95% Excellent Match. UG Graduation Not Required. Applied via Naukri
2026-07-27,Tradeweb,Data Management Security Master (AVP),Bangalore (Hybrid),Undisclosed (AVP),"Data Operations Leadership, Quality Control, Data Validation, SQL, Python",Applied,98-100% Slam Dunk AVP Match. Applied via Company Portal
2026-07-27,Lacento Technologies,Power BI Developer (SQL),Bengaluru (Hybrid),Undisclosed,"Power BI, DAX, Power Query ETL, Advanced SQL, Data Modeling",Applied,98-100% Slam Dunk Match. Applied via LinkedIn Easy Apply
2026-07-27,KPI Partners,Senior Power BI Developer,Bangalore Urban (Hybrid),Undisclosed,"Power BI, DAX, Power Query ETL, SQL Server, Power Platform, Mentorship",Applied,92-95% Excellent Match. Contact: Vidya Patil. 0 days notice. Applied via LinkedIn Easy Apply
2026-07-27,YMinds.AI,Senior Snowflake Data Engineer,Remote / Bangalore Hybrid,Up to ₹30 LPA (Exp: 18 LPA),"Snowflake, Medallion Architecture, SQL, Python, Streams & Tasks",Applied,High Compensation Target (88% Match). 0 days notice. Applied via LinkedIn Easy Apply
2026-07-27,Bandhan Technologies,AI Engineer,Bengaluru (Whitefield Hybrid),Undisclosed,"Python, Agentic AI, LLMs, GenAI, APIs",Applied,AI Automation Fit (75%). Contact: JYOTIRAJ PANI. Applied via LinkedIn Easy Apply
2026-07-27,Bandhan Technologies,Tech Lead – Data & Analytics,Bengaluru (Hybrid),Undisclosed,"Team Leadership, Power BI, SQL, Medallion Architecture, Governance",Applied,90-95% Excellent Match. Contact: Poornima Reddy. Applied via LinkedIn Easy Apply
2026-07-27,Dentira,Data Analyst,Bangalore Urban (Hybrid),₹10L – ₹16L,"SQL, Python ETL Pipelines, Data Anomaly Investigation, AI/LLM Workflows",Rejected,Strong Match (85%). Contact: RAMYA M RAIKAR. Applied via Wellfound
2026-07-27,FxConsulting,Senior Data Analyst,Bengaluru (In Office),₹15L – ₹28L,"Advanced SQL, Query Optimization, RDBMS, Power BI, Python, LLM/Agentic AI",Applied,High Value Target (90% Match). Contact: Sneha Sah. Applied via Wellfound
2026-07-27,MoveInSync Technology,Data Analyst,Bengaluru (In Office),₹7L – ₹9L,"SQL, Excel, BI Dashboards, Operational Data, Python",Applied,98-100% Perfect Match. Contact: Premkumar Harti. Applied via Wellfound
2026-07-27,WebIndiaInc,Data Automation Engineer,Remote,₹6L – ₹12L,"Data Analysis, Workflow Automation, ETL, Snowflake, SQL, Python, Claude Code",Applied,95-100% Perfect Match. Applied via Wellfound
2026-07-27,YBrantWorks,Senior Data Specialist,Remote,Undisclosed,"Microsoft Fabric, Data Factory, Lakehouse, Medallion Architecture, SQL, Power BI",Applied,Focus on Medallion Architecture & Data Operations Leadership
2026-07-25,TECHVINE,Data Visualization Developer,Remote,13-15 LPA,"Power BI, SQL, Security Observability",Withdrawn,Passed / Withdrawn due to legitimacy verification concerns
2026-07-24,Two95 International,Data Visualization Developer,Remote,Contract,"Power BI, SQL, BI Reporting",Withdrawn,Passed / Withdrawn due to legitimacy verification concerns
2026-07-24,Innova ESI,Data Modeler,Bengaluru,Official CTC,"Data Modeling, SQL, Reporting",Applied,Follow up after 31-Jul-2026
